Fecha,Nombre,Consumo
2023-09-20,Hidráulica,29080.481
2023-09-21,Hidráulica,20213.244
2023-09-22,Hidráulica,31118.702
2023-09-23,Hidráulica,24335.723
2023-09-24,Hidráulica,23312.579
2023-09-25,Hidráulica,38970.565
2023-09-26,Hidráulica,40808.219
2023-09-27,Hidráulica,44279.829
2023-09-28,Hidráulica,41709.912
2023-09-29,Hidráulica,43508.807
2023-09-30,Hidráulica,27451.729
2023-10-01,Hidráulica,23512.598
2023-10-02,Hidráulica,25842.727
2023-10-03,Hidráulica,27088.352
2023-10-04,Hidráulica,27620.756
2023-10-05,Hidráulica,38745.423
2023-10-06,Hidráulica,41528.037
2023-10-07,Hidráulica,24530.895
2023-10-08,Hidráulica,22871.902
2023-10-09,Hidráulica,41941.542
2023-10-10,Hidráulica,43709.116
2023-10-11,Hidráulica,46674.527
2023-10-12,Hidráulica,38684.046
2023-10-13,Hidráulica,33757.041
2023-10-14,Hidráulica,41595.229
2023-10-15,Hidráulica,35384.852
2023-10-16,Hidráulica,57502.669
2023-10-17,Hidráulica,35293.703
2023-10-18,Hidráulica,24934.502
2023-10-19,Hidráulica,32480.556
2023-10-20,Hidráulica,44311.366
2023-10-21,Hidráulica,50451.637
2023-10-22,Hidráulica,58796.811
2023-10-23,Hidráulica,77396.902
2023-10-24,Hidráulica,55216.294
2023-10-25,Hidráulica,51260.518
2023-10-26,Hidráulica,57149.039
2023-10-27,Hidráulica,69328.456
2023-10-28,Hidráulica,63551.301
2023-10-29,Hidráulica,74339.734
2023-10-30,Hidráulica,75310.647
2023-10-31,Hidráulica,115566.191
2023-11-01,Hidráulica,89420.058
2023-11-02,Hidráulica,89916.301
2023-11-03,Hidráulica,99593.17
2023-11-04,Hidráulica,97154.177
2023-11-05,Hidráulica,96292.694
2023-11-06,Hidráulica,107648.723
2023-11-07,Hidráulica,124132.863
2023-11-08,Hidráulica,127777.954
2023-11-09,Hidráulica,118681.238
2023-11-10,Hidráulica,116435.22
2023-11-11,Hidráulica,91456.22
2023-11-12,Hidráulica,97700.893
2023-11-13,Hidráulica,113199.214
2023-11-14,Hidráulica,121743.708
2023-11-15,Hidráulica,134497.489
2023-11-16,Hidráulica,135429.79
2023-11-17,Hidráulica,151720.042
2023-11-18,Hidráulica,145158.384
2023-11-19,Hidráulica,111301.308
2023-11-20,Hidráulica,131186.155
2023-11-21,Hidráulica,94220.543
2023-11-22,Hidráulica,80558.733
2023-11-23,Hidráulica,95617.58
2023-11-24,Hidráulica,108537.055
2023-11-25,Hidráulica,104535.339
2023-11-26,Hidráulica,146010.249
2023-11-27,Hidráulica,142730.91
2023-11-28,Hidráulica,138146.286
